Nombre del repuesto,descripción ,marca,tamaño,categoria,cantidad,precio estimado,codigo,ubicación 
juegos de cunas,dirección NS,,,,2,22000,,
juego de cunas,dirección hero honda,,,,2,22000,,
juego de cunas,dirección XTZ 125,crown ,,,2,32000,,
juego de cunas ,dirección GN 125,MOTOTEC ,,,3,22000,,
juego de cunas ,dirección dinamic AKT125,mototec ,,,3,30000,,
juego de cunas ,dirección CBF125,mototec ,,,3,25000,,
juego de cunas ,dirección AX4,mototec ,,,4,28000,,
juego de cunas ,dirección agility 125,mototec ,,,2,28000,,
juego de cunas ,dirección ecodeluxe,mototec ,,,3,30000,,
juego de cunas ,dirección BOXER CT100,MOTOTEC ,,,3,22000,,
juego de cunas, dirección AKT125 EVO NE,mototec ,,,2,22000,,
juego de cunas,dirección BWIS FZ16,motetec ,,,2,20000,,
juego de cunas ,dirección pulsar180,mototec ,,,4,30000,,
kit rijera,AX4,crown ,,,1,35000,,
kit tijera,AKT EVO 150,crown ,,,2,38000,,
kit tijera,XR150L,crown ,,,1,65000,,
Kit tijera,CB110,crown ,,,1,35000,,
kit tijera,DISCOVER 100,crown ,,,1,40000,,
kit biela ,ECO 100,crown ,,,5,70000,,
kit biela,DTK125/175,crown ,,,1,80000,,
kit biela ,YBR-XTZ-LIBERO 125,crown ,,,1,75000,,
kit biela,FZ16/F1,crown ,,,1,90000,,
kit biela,CB110,crown ,,,1,58000,,
kit biela,DISCOVER 125,crown ,,,1,78000,,
kit biela,RTR APACHE,crown ,,,1,90000,,
kit biela,CBF150,EVOL,,,2,60000,,
KIt biela,YBR 125,EVOL,,,1,60000,,
kit biela,BOXER ktec corta,EVOL,,,2,40000,,
porta fusibles ,universal ,,,,13,8000,,
